--------- beginning of /dev/log/system
W/ThrottleService(  584): unable to find stats for iface rmnet0
D/ConnectivityService(  584): handleInetConditionChange: net=1, condition=100,mActiveDefaultNetwork=1
D/ConnectivityService(  584): handleInetConditionChange: currently in hold - not setting new end evt
I/ActivityManager(  584): Start proc com.google.android.apps.maps for broadcast com.google.android.apps.maps/com.google.userfeedback.android.api.FeedbackConnectivityReceiver: pid=11935 uid=10032 gids={3003, 1015, 3002, 3001, 1028}
D/ConnectivityService(  584): handleInetConditionHoldEnd: net=1, condition=100, published condition=0
D/ConnectivityService(  584): sendStickyBroadcast: action=android.net.conn.INET_CONDITION_ACTION
D/WIFI_ICON(  840): updateConnectivity: type=1 connected=true
D/StatusBar.NetworkController(  840): dumpState[hasService=true ServiceState=0 home 3 3 27202  HSPA CSS not supported -1 -1 RoamInd=-1 DefRoamInd=-1EriInd= -1EriMode= -1RadioPowerSv: false EmergOnly=false PhoneType: 1 IsCdma=false SimState=UNKNOWN GprsState=0 DataState=Disconnected DataActivity=NONE NetworkType=HSPA HtcModemLinkOn=false HspaDataDistinquishable=true]
D/StatusBar.NetworkController(  840): dumpIconState[dataVisible=false dataIconId=stat_sys_data_connected_hplus signalIconId=stat_sys_5signal_2 wifiVisible=true wifiIconId=stat_sys_wifi_signal_4 airplaneMode=false]
I/ActivityManager(  584): Start proc com.rhmsoft.fm:crash.feedback for broadcast com.rhmsoft.fm/com.cleanmaster.fm.receiver.ConnectivityChangeBroadcastReceiver: pid=11960 uid=10220 gids={3003, 1015, 1028}
I/ActivityManager(  584): No longer want com.dropbox.android:crash_uploader (pid 11347): hidden #16, adj=15
I/ActivityManager(  584): Recipient 11347
I/ActivityManager(  584): Start proc com.vkontakte.android for broadcast com.vkontakte.android/.NetworkStateReceiver: pid=11987 uid=10172 gids={1006, 3003, 1015, 1028}
I/ActivityManager(  584): No longer want com.android.packageinstaller (pid 11545): hidden #16, adj=15
I/ActivityManager(  584): Recipient 11545
D/Socket_Alarm(11987): registerHTCSocketMonitorCallBack
D/Socket_Alarm(11987): set mSocketMonitor
D/Socket_Alarm(11987): HTCSocketMonitorImpl::HTCSocketMonitorImpl
I/ActivityManager(  584): Start proc com.hailocab.consumer for broadcast com.hailocab.consumer/.receivers.ConnectivityReceiver: pid=12009 uid=10091 gids={3003, 3002, 3001, 1015, 1028}
I/ActivityManager(  584): No longer want com.htc.opensense.social (pid 11558): hidden #16, adj=15
I/ActivityManager(  584): Recipient 11558
D/Socket_Alarm(12009): registerHTCSocketMonitorCallBack
D/Socket_Alarm(12009): set mSocketMonitor
D/Socket_Alarm(12009): HTCSocketMonitorImpl::HTCSocketMonitorImpl
V/LocationManagerService(  584): getProviders
V/LocationManagerService(  584): getProviders
V/LocationManagerService(  584): getLastKnownLocation: gps
V/LocationManagerService(  584): getLastKnownLocation: network
V/LocationManagerService(  584): getLastKnownLocation: hybrid
V/LocationManagerService(  584): In requestLocationUpdates. provider passiveminTime: 1800000single shot: false Receiver: Receiver{4307a968 Intent PendingIntent{43053f00: PendingIntentRecord{43234af8 com.hailocab.consumer broadcastIntent}}}mUpdateRecords: {passive=UpdateRecord{431ea9d0 mProvider: passive mUid: 10091}}
V/LocationManagerService(  584): In requestLocationUpdatesLocked. provider: passive requiredPermissions: android.permission.ACCESS_FINE_LOCATION
I/LocationManagerService(  584): request passive (pid 12009) 1800000 0
V/LocationManagerService(  584): [LGPS] _requestLocationUpdates: enableLocationTracking(true)
D/LocationManagerService(  584): _requestLocationUpdates: provider = passive listener = Receiver{4307a968 Intent PendingIntent{43053f00: PendingIntentRecord{43234af8 com.hailocab.consumer broadcastIntent}}}mUpdateRecords: {passive=UpdateRecord{431ad5e0 mProvider: passive mUid: 10091}}
V/LocationManagerService(  584): getProviders
V/LocationManagerService(  584): getLastKnownLocation: network
V/LocationManagerService(  584): getLastKnownLocation: passive
V/LocationManagerService(  584): getLastKnownLocation: hybrid
I/ActivityManager(  584): Start proc org.coursera.android for broadcast org.coursera.android/org.coursera.core.legacy.network.CourkitNetworkObservable: pid=12063 uid=10057 gids={3003, 1015, 1028}
I/ActivityManager(  584): No longer want com.htc.android.mail:sync (pid 10699): hidden #16, adj=15
D/webcoreglue(12009): netstack: Memory Cache feature is ON
I/ActivityManager(  584): Recipient 10699
D/PowerManagerService(  584): acquireWakeLock(433240b8): PARTIAL_WAKE_LOCK , tag=*net_scheduler*, flags=0x1, pid=1061, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(433240b8): PARTIAL_WAKE_LOCK , tag=*net_scheduler*, flags=0x1
D/BatteryService(  584): updateBatteryStats: auto update.
D/PowerManagerService(  584): acquireWakeLock(42de0f40): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(42de0f40): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/BatteryService(  584): updateBatteryStats: update triggered by UEvent.
D/PowerManagerService(  584): acquireWakeLock(433609a0): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerUI (  840): closing low battery warning: level=47
D/PowerUI (  840): plugged = true, health = 2, mBatteryLevel = 47, mPluggedBatteryLevel = 34, mLowBatteryWarningLevel2 = 25, mshowLowChargingWarning2 = true
D/PowerManagerService(  584): releaseWakeLock(433609a0): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/WifiService(  584): ACTION_BATTERY_CHANGED pluggedType: 2
D/NotificationService(  584): mIntentReceiver() Intent.ACTION_BATTERY_CHANGED
D/PowerManagerService(  584): runHtcPowerSaverCheck ======================================
I/ActivityManager(  584): Start proc com.whatsapp for service com.whatsapp/.messaging.MessageService: pid=12094 uid=10060 gids={3002, 1006, 3003, 1015, 1028}
I/ActivityManager(  584): No longer want com.android.vending (pid 11408): hidden #16, adj=15
V/LocationManagerService(  584): getProviders
I/ActivityManager(  584): Recipient 11408
D/PowerManagerService(  584): releaseWakeLock(428aa480): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(43072500): PARTIAL_WAKE_LOCK , tag=wake:com.google.android.music/.leanback.AutoCacheSchedulingService, flags=0x1, pid=11845, uid=10210, mUserState=0x0
V/LocationManagerService(  584): getProviders
V/LocationManagerService(  584): getProviders
V/LocationManagerService(  584): getProviders
I/PackageManager(  584):  setEnabledSetting(), pkgName=com.google.android.music, clsName=com.google.android.music.leanback.AutoCacheSchedulingService$ActionReceiver, state=2, flag=1, pid=11845, uid=10210
D/Socket_Alarm(11845): registerHTCSocketMonitorCallBack
D/Socket_Alarm(11845): set mSocketMonitor
D/Socket_Alarm(11845): HTCSocketMonitorImpl::HTCSocketMonitorImpl
D/PowerManagerService(  584): releaseWakeLock(43072500): PARTIAL_WAKE_LOCK , tag=wake:com.google.android.music/.leanback.AutoCacheSchedulingService, flags=0x1
D/Socket_Alarm(12094): registerHTCSocketMonitorCallBack
D/Socket_Alarm(12094): set mSocketMonitor
D/Socket_Alarm(12094): HTCSocketMonitorImpl::HTCSocketMonitorImpl
D/PowerManagerService(  584): acquireWakeLock(42fd20b8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{42484c48: PendingIntentRecord{422cede0 com.whatsapp broadcastIntent}}, intent=com.whatsapp.alarm.NTP_UPDATE, type=ELAPSED_REALTIME, count=1, when=43200000, repeateInterval=43200000
I/ActivityManager(  584): Start proc com.android.vending for service com.android.vending/com.google.android.finsky.billing.iab.InAppBillingService: pid=12147 uid=10132 gids={3003, 1015, 1028}
V/AlarmManager(  584): sending alarm PendingIntent{424100a0: PendingIntentRecord{43055f88 com.whatsapp broadcastIntent}}, intent=DEVICE_INFO_ALARM_ACTION, type=ELAPSED_REALTIME, count=2, when=7200000, repeateInterval=3600000
D/PowerManagerService(  584): releaseWakeLock(42fd20b8): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
I/PackageManager(  584):  setEnabledSetting(), pkgName=com.android.vending, clsName=com.android.vending.AssetBrowserActivity, state=1, flag=1, pid=12147, uid=10132
I/ActivityManager(  584): Recipient 11619
I/ActivityManager(  584): Process com.google.android.googlequicksearchbox:search (pid 11619) has died.
I/PackageManager(  584):  setEnabledSetting(), pkgName=com.android.vending, clsName=com.google.android.finsky.activities.DebugActivity, state=2, flag=1, pid=12147, uid=10132
I/ActivityManager(  584): Recipient 11029
I/ActivityManager(  584): Process nz.barees.android.cachesensedemo (pid 11029) has died.
V/LocationManagerService(  584): getAllProviders
I/ActivityManager(  584): Recipient 11870
I/ActivityManager(  584): Process com.htc.cs.dm (pid 11870) has died.
D/PowerManagerService(  584): acquireWakeLock(42c94dd0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{430a5890: PendingIntentRecord{433380a0 com.whatsapp broadcastIntent}}, intent=com.whatsapp.messaging.MessageService.CLIENT_PINGER_ACTION, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5488558, repeateInterval=240000
D/PowerManagerService(  584): releaseWakeLock(42c94dd0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42c00a10): PARTIAL_WAKE_LOCK , tag=Icing, flags=0x1, pid=1189, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(42c00a10): PARTIAL_WAKE_LOCK , tag=Icing, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42bc9d20): PARTIAL_WAKE_LOCK , tag=Icing, flags=0x1, pid=1189, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(42bc9d20): PARTIAL_WAKE_LOCK , tag=Icing, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42d32590): PARTIAL_WAKE_LOCK , tag=Icing, flags=0x1, pid=1189, uid=10017, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(42d32590): PARTIAL_WAKE_LOCK , tag=Icing, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(43098420): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{42fa93d0: PendingIntentRecord{42e0e5c0 com.whatsapp broadcastIntent}}, intent=com.whatsapp.alarm.CLIENT_PING_TIMEOUT, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5280602, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(43098420): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(42bfc550): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{429db508: PendingIntentRecord{42d0af18 android broadcastIntent}}, intent=android.intent.action.TIME_TICK, type=RTC, count=1, when=1427234700000, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(42bfc550): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/BatteryService(  584): updateBatteryStats: auto update.
D/PowerManagerService(  584): acquireWakeLock(4303b868): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(4303b868): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
D/BatteryService(  584): updateBatteryStats: update triggered by UEvent.
D/PowerManagerService(  584): acquireWakeLock(42f9b8d8): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/WifiService(  584): ACTION_BATTERY_CHANGED pluggedType: 2
D/NotificationService(  584): mIntentReceiver() Intent.ACTION_BATTERY_CHANGED
D/PowerManagerService(  584): runHtcPowerSaverCheck ======================================
D/PowerUI (  840): closing low battery warning: level=47
D/PowerUI (  840): plugged = true, health = 2, mBatteryLevel = 47, mPluggedBatteryLevel = 34, mLowBatteryWarningLevel2 = 25, mshowLowChargingWarning2 = true
D/PowerManagerService(  584): releaseWakeLock(42f9b8d8): PARTIAL_WAKE_LOCK , tag=BatteryServiceUpdateStats, flags=0x1
I/ActivityManager(  584): Start proc com.htc.android.mail:sync for service com.htc.android.mail/.mailservice.MailService: pid=12235 uid=10112 gids={3003, 1015, 1028}
D/PowerManagerService(  584): acquireWakeLock(42b10da0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1, pid=584, uid=1000, mUserState=0x0
V/AlarmManager(  584): sending alarm PendingIntent{42bdf628: PendingIntentRecord{42c79920 com.htc.android.mail startService}}, intent=com.htc.android.mail.intent.action.MAIL_SERVICE_WAKEUP, type=ELAPSED_REALTIME_WAKEUP, count=1, when=5302878, repeateInterval=0
D/PowerManagerService(  584): releaseWakeLock(42b10da0): PARTIAL_WAKE_LOCK , tag=AlarmManager, flags=0x1
D/PowerManagerService(  584): acquireWakeLock(43183060): PARTIAL_WAKE_LOCK , tag=MAILSERVICE_PWR_LOCK, flags=0x1, pid=12235, uid=10112, mUserState=0x0
D/PowerManagerService(  584): acquireWakeLock(42ced490): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/Socket_Alarm(12235): registerHTCSocketMonitorCallBack
D/Socket_Alarm(12235): set mSocketMonitor
D/Socket_Alarm(12235): HTCSocketMonitorImpl::HTCSocketMonitorImpl
D/PowerManagerService(  584): releaseWakeLock(43183060): PARTIAL_WAKE_LOCK , tag=MAILSERVICE_PWR_LOCK, flags=0x1
I/ActivityManager(  584): No longer want com.google.android.partnersetup (pid 11648): hidden #16, adj=15
D/PowerManagerService(  584): acquireWakeLock(42fed3a0): PARTIAL_WAKE_LOCK , tag=*sync*_mail_Account {name=ili****************m, type=com.htc.android.mail}, flags=0x1, pid=584, uid=1000, mUserState=0x0
I/ActivityManager(  584): No longer want com.orange.orangeetmoi (pid 10757): hidden #17, adj=15
I/ActivityManager(  584): Recipient 11648
D/PowerManagerService(  584): releaseWakeLock(42ced490): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1
I/ActivityManager(  584): Recipient 10757
W/ActivityManager(  584): Scheduling restart of crashed service com.orange.orangeetmoi/.service.phonestate.RoamingPhoneStateService in 5000ms
D/PowerManagerService(  584): acquireWakeLock(42c68ea8): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(42c68ea8): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1
D/WifiService(  584): acquireWifiLockLocked: WifiLock{EmailServiceController_WIFI_LOCK type=1 binder=android.os.BinderProxy@430a8498}
D/WifiService(  584): updateWifiState(): wifiApEnabled: false, wifiApAirplaneMode: falsegetWifiEnabledState(): 3, getWifiApEnabledState: 11
D/WifiService(  584): updateWifiState(): mAirplaneModeOn.get(): false, mPersistWifiState.get(): 1
D/WifiService(  584): updateWifiState(): mEmergencyCallbackMode: false, mDeviceIdle: false, lockHeld: true, mStopWifiRequested:false
D/WifiService(  584): updateWifiState(): enable and start wifi
D/PowerManagerService(  584): acquireWakeLock(42ddf5b8): PARTIAL_WAKE_LOCK , tag=EmailServiceController_PWR_LOCK, flags=0x1, pid=12235, uid=10112, mUserState=0x0
D/PowerManagerService(  584): acquireWakeLock(42c88b88): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1, pid=584, uid=1000, mUserState=0x0
D/PowerManagerService(  584): releaseWakeLock(42fed3a0): PARTIAL_WAKE_LOCK , tag=*sync*_mail_Account {name=ili****************m, type=com.htc.android.mail}, flags=0x1
D/WifiService(  584): releaseWifiLockLocked: WifiLock{EmailServiceController_WIFI_LOCK type=1 binder=android.os.BinderProxy@430a8498}
D/WifiService(  584): updateWifiState(): wifiApEnabled: false, wifiApAirplaneMode: falsegetWifiEnabledState(): 3, getWifiApEnabledState: 11
D/WifiService(  584): updateWifiState(): mAirplaneModeOn.get(): false, mPersistWifiState.get(): 1
D/WifiService(  584): updateWifiState(): mEmergencyCallbackMode: false, mDeviceIdle: false, lockHeld: true, mStopWifiRequested:false
D/WifiService(  584): updateWifiState(): enable and start wifi
D/PowerManagerService(  584): releaseWakeLock(42ddf5b8): PARTIAL_WAKE_LOCK , tag=EmailServiceController_PWR_LOCK, flags=0x1
D/PowerManagerService(  584): releaseWakeLock(42c88b88): PARTIAL_WAKE_LOCK , tag=SyncLoopWakeLock, flags=0x1
V/LightsService(  584): setLight #8: color=#c8c800
D/lights  (  584): set_color_led color=13158400, mode=255, off_min=0, off_sec=0
D/lights  (  584): [LedInfo] without indicator attribute, red:c80000, green:c800, blue:0
V/NotificationService(  584): Charging...
V/LightsService(  584): setLight #8: color=#c80000
D/lights  (  584): set_color_led color=13107200, mode=1, off_min=0, off_sec=0
D/lights  (  584): [LedInfo] without indicator attribute, red:c80000, green:0, blue:0
D/lights  (  584): [LedInfo] write attr ok name=/sys/class/leds/amber/brightness string=1,len=1
D/lights  (  584): [LedInfo] write attr ok name=/sys/class/leds/amber/blink string=0,len=1
D/lights  (  584): [LedInfo] write attr ok name=/sys/class/leds/amber/off_timer string=0 0,len=3
D/lights  (  584): [LedInfo] write attr ok name=/sys/class/leds/green/brightness string=0,len=1
D/lights  (  584): [LedInfo] write attr ok name=/sys/class/leds/green/blink string=0,len=1
D/lights  (  584): [LedInfo] write attr ok name=/sys/class/leds/green/off_timer string=0 0,len=3
D/PhoneStatusBar(  840): addNotification score=0
I/ActivityManager(  584): Recipient 5873
I/ActivityManager(  584): Process com.facebook.orca (pid 5873) has died.
W/ActivityManager(  584): Scheduling restart of crashed service com.facebook.orca/com.facebook.push.mqtt.service.MqttPushService in 10067ms
I/ActivityManager(  584): Start proc com.orange.orangeetmoi for service com.orange.orangeetmoi/.service.phonestate.RoamingPhoneStateService: pid=12276 uid=10130 gids={1015, 3003, 1028}
I/ActivityManager(  584): Start proc com.facebook.orca for service com.facebook.orca/com.facebook.push.mqtt.service.MqttPushService: pid=12297 uid=10000 gids={3003, 1015, 1006, 1028}
D/Socket_Alarm(12297): registerHTCSocketMonitorCallBack
D/Socket_Alarm(12297): set mSocketMonitor
D/Socket_Alarm(12297): HTCSocketMonitorImpl::HTCSocketMonitorImpl
I/ActivityManager(  584): Recipient 11095
I/ActivityManager(  584): Process com.google.android.apps.plus (pid 11095) has died.
W/BroadcastQueue(  584): Permission Denial: broadcasting Intent { act=android.net.conn.INET_CONDITION_ACTION flg=0x8000010 (has extras) } from null (pid=-1, uid=-1) requires com.facebook.permission.prod.FB_APP_COMMUNICATION due to registered receiver BroadcastFilter{4340b3a0 ReceiverList{4340b348 12297 com.facebook.orca/10000 remote:433c0808}}
